2020-01-19 14:57:02	Start
2020-01-19 14:57:14	End


Time (s)	X	Y	Z	|V|	MAx	MAy	MAz	MAv
0.000	0.976834	-9.737218	1.371878	9.881785	0.977	-9.737	1.372	9.882
0.020	0.495600	-9.935937	1.034295	10.001911	0.857	-9.787	1.287	9.912
0.040	0.744597	-9.751583	1.218649	9.855603	0.798	-9.790	1.249	9.905
0.060	0.687136	-9.799467	1.259350	9.903922	0.726	-9.806	1.221	9.911
0.082	0.830788	-9.866506	1.175553	9.970961	0.690	-9.838	1.172	9.933
0.100	0.885855	-9.969456	1.019930	10.060569	0.787	-9.847	1.168	9.948
0.121	0.550666	-9.979033	1.106121	10.055239	0.739	-9.904	1.140	9.998
0.141	0.761356	-9.653421	1.424550	9.787622	0.757	-9.867	1.182	9.969
0.162	0.751779	-9.682152	1.405396	9.812460	0.737	-9.821	1.239	9.929
0.184	0.749385	-9.864111	1.134852	9.957417	0.703	-9.795	1.268	9.903
0.204	0.651223	-10.017340	1.096544	10.098197	0.728	-9.804	1.265	9.914
0.223	0.713472	-9.859323	1.321599	9.973059	0.716	-9.856	1.240	9.960
0.251	0.778116	-9.742006	1.326388	9.862629	0.723	-9.871	1.220	9.973
0.265	0.818817	-9.878476	1.175553	9.981817	0.740	-9.874	1.230	9.979
0.283	0.837971	-9.926360	1.242591	10.038867	0.787	-9.852	1.267	9.964
0.304	0.723049	-9.897630	1.304840	10.009419	0.789	-9.861	1.262	9.973
0.334	0.761356	-9.811439	1.271321	9.922714	0.785	-9.878	1.249	9.988
0.349	0.687136	-9.888053	1.197101	9.983927	0.752	-9.881	1.254	9.989
0.364	0.744597	-9.832987	1.259350	9.941228	0.729	-9.858	1.258	9.964
0.384	0.711078	-9.873688	1.288081	9.982709	0.726	-9.852	1.254	9.958
0.404	0.641646	-9.976639	1.192312	10.068100	0.696	-9.893	1.234	9.994
0.424	0.495600	-10.053253	1.211466	10.138105	0.648	-9.934	1.238	10.033
0.445	0.584185	-9.880871	1.271321	9.979436	0.608	-9.946	1.241	10.042
0.466	0.672771	-9.785102	1.197101	9.880987	0.599	-9.924	1.218	10.017
0.495	0.548272	-10.005369	0.943315	10.064684	0.575	-9.931	1.156	10.016
0.509	0.701501	-9.897630	1.240196	9.999663	0.627	-9.892	1.163	9.981
0.526	0.809240	-9.713276	1.331176	9.837410	0.683	-9.850	1.178	9.946
0.546	0.720655	-9.892841	1.192312	9.990458	0.695	-9.877	1.177	9.973
0.567	0.718261	-9.880871	1.204283	9.979870	0.737	-9.846	1.242	9.952
0.586	0.481235	-9.974244	1.268927	10.066147	0.682	-9.865	1.249	9.968
0.606	0.543484	-9.852140	1.271321	9.948683	0.616	-9.900	1.234	9.996
0.626	0.572214	-9.981427	1.163582	10.065299	0.579	-9.922	1.227	10.015
0.654	0.263362	-10.977415	1.450886	11.076013	0.465	-10.196	1.289	10.289
0.677	0.375890	-10.608707	0.849942	10.649337	0.439	-10.355	1.184	10.435
0.687	1.240196	-8.690952	1.589750	8.921774	0.613	-10.065	1.264	10.178
0.706	1.053449	-8.355764	1.721431	8.596039	0.733	-9.658	1.403	9.811
0.730	-0.023942	-10.055647	0.311246	10.060491	0.661	-9.428	1.118	9.557
0.747	0.325611	-10.297462	1.235408	10.376414	0.649	-9.350	1.214	9.489
0.772	0.687136	-9.871294	1.537078	10.013851	0.511	-9.645	1.201	9.762
0.786	0.713472	-9.619903	1.465251	9.756974	0.426	-9.961	1.137	10.052
0.806	0.615310	-9.734824	1.328782	9.844342	0.585	-9.881	1.392	9.998
0.826	0.366313	-10.110714	0.873884	10.155018	0.596	-9.834	1.301	9.943
0.846	0.339977	-10.067618	1.060631	10.129041	0.509	-9.883	1.182	9.971
0.866	0.478840	-9.873688	1.268927	9.966402	0.450	-9.947	1.133	10.024
0.888	0.462081	-10.105926	1.199495	10.187347	0.412	-10.039	1.101	10.109
0.905	0.493206	-10.012551	1.029507	10.077416	0.444	-10.015	1.140	10.090
0.925	0.553061	-9.672575	0.912191	9.731222	0.497	-9.916	1.103	9.991
0.946	0.378284	-9.665392	1.235408	9.751365	0.472	-9.864	1.094	9.937
0.976	0.344765	-9.768343	1.405396	9.874944	0.442	-9.780	1.146	9.859
0.987	0.548272	-9.983821	1.067814	10.055721	0.456	-9.773	1.155	9.853
1.007	0.828394	-10.077195	0.778116	10.141083	0.525	-9.874	1.122	9.956
1.026	0.809240	-9.998186	0.916979	10.072708	0.633	-9.957	1.042	10.036
1.048	0.483629	-9.813833	0.950498	9.871609	0.667	-9.968	0.928	10.035
1.066	0.323217	-9.734824	1.180341	9.811446	0.611	-9.906	0.956	9.974
1.087	0.253785	-9.935937	1.144428	10.004847	0.467	-9.871	1.048	9.940
1.107	0.301669	-9.921572	1.089362	9.985755	0.341	-9.852	1.091	9.918
1.131	0.414197	-9.806650	1.216254	9.890461	0.323	-9.850	1.158	9.923
1.154	0.220267	-9.765948	1.261744	9.849582	0.297	-9.858	1.178	9.933
1.167	0.222661	-9.866506	1.235408	9.946041	0.290	-9.840	1.201	9.918
1.187	0.466869	-9.967062	1.278504	10.059566	0.331	-9.852	1.248	9.936
1.207	0.541090	-9.962274	1.218649	10.051108	0.363	-9.890	1.249	9.977
1.228	0.656011	-9.809045	1.180341	9.901561	0.472	-9.901	1.228	9.990
1.249	0.414197	-9.775525	1.254562	9.864400	0.520	-9.878	1.233	9.969
1.267	0.447716	-9.806650	1.134852	9.882243	0.515	-9.838	1.197	9.925
1.287	0.531513	-9.955091	1.364695	10.062243	0.512	-9.837	1.234	9.928
1.311	0.512359	-9.765948	1.383849	9.876806	0.476	-9.826	1.284	9.921
1.327	0.375890	-9.799467	1.453280	9.913772	0.467	-9.832	1.334	9.934
1.350	0.363919	-9.751583	1.350330	9.851355	0.446	-9.818	1.388	9.926
1.369	0.301669	-9.938332	1.043872	9.997555	0.388	-9.814	1.308	9.910
1.388	0.529119	-10.002975	1.369483	10.110141	0.393	-9.873	1.304	9.968
1.407	0.679953	-9.959879	1.429338	10.084866	0.469	-9.913	1.298	10.011
1.427	0.646434	-9.866506	1.187524	9.958716	0.539	-9.942	1.258	10.038
1.447	0.902614	-9.627085	1.058237	9.727042	0.690	-9.864	1.261	9.970
1.468	0.804452	-9.617508	1.132457	9.717307	0.758	-9.768	1.202	9.872
1.487	0.318429	-9.947908	1.333570	10.041947	0.668	-9.765	1.178	9.861
1.507	0.050278	-10.409989	1.084573	10.466456	0.519	-9.901	1.152	9.988
1.528	0.260968	-10.067618	1.503559	10.182619	0.359	-10.011	1.264	10.102
1.548	0.737414	-9.619903	1.405396	9.749946	0.342	-10.011	1.332	10.110
1.567	0.742203	-9.591172	1.498770	9.735901	0.448	-9.922	1.373	10.034
1.587	0.600945	-9.701305	1.197101	9.793340	0.585	-9.745	1.401	9.865
1.610	0.308852	-10.074800	1.146823	10.144565	0.597	-9.747	1.312	9.856
