2020-01-19 14:57:02	Start
2020-01-19 14:57:14	End


Time (s)	X	Y	Z	|V|	MAx	MAy	MAz	MAv
1.587	0.600945	-9.701305	1.197101	9.793340	0.585	-9.745	1.401	9.865
1.610	0.308852	-10.074800	1.146823	10.144565	0.597	-9.747	1.312	9.856
1.627	0.323217	-10.048465	1.055843	10.108952	0.494	-9.854	1.225	9.946
1.647	0.481235	-9.725247	1.426944	9.841148	0.429	-9.887	1.207	9.972
1.667	0.677559	-9.916783	1.154005	10.006668	0.448	-9.941	1.196	10.025
1.689	0.433351	-10.213664	1.244985	10.298384	0.479	-9.976	1.220	10.064
1.707	-0.050278	-9.500193	2.322376	9.780062	0.385	-9.839	1.537	9.982
1.727	0.720655	-9.639056	1.060631	9.723975	0.445	-9.817	1.445	9.952
1.748	1.077391	-10.038888	0.263362	10.099971	0.545	-9.848	1.223	9.976
1.778	1.024718	-9.895236	1.240196	10.025160	0.693	-9.768	1.222	9.907
1.790	0.665588	-9.667787	1.206678	9.765509	0.872	-9.810	0.943	9.904
1.810	0.715866	-9.646238	1.527501	9.792632	0.871	-9.812	1.059	9.921
1.830	1.106121	-9.296685	1.549049	9.489542	0.878	-9.626	1.381	9.768
1.851	0.526724	-9.569624	1.209072	9.660072	0.754	-9.545	1.373	9.677
1.874	0.991199	-9.483433	1.446098	9.644126	0.835	-9.499	1.433	9.647
1.890	0.888249	-9.452309	1.295263	9.581901	0.878	-9.451	1.375	9.594
1.910	0.828394	-9.710882	0.897826	9.787418	0.809	-9.554	1.212	9.668
1.931	0.191536	-9.935937	1.340753	10.027819	0.725	-9.646	1.245	9.760
1.954	0.471658	-9.093178	2.049437	9.333195	0.595	-9.548	1.396	9.683
1.971	0.565032	-9.339781	1.003170	9.410479	0.514	-9.520	1.323	9.640
1.991	0.667982	-9.313444	1.197101	9.413793	0.474	-9.421	1.398	9.546
2.020	1.422156	-8.291121	2.351106	8.734582	0.782	-9.009	1.650	9.223
2.032	0.928950	-8.750807	2.255338	9.084389	0.896	-8.924	1.702	9.161
