2020-01-19 21:06:04	Start
2020-01-19 21:06:08	End


Time (s)	X	Y	Z	|V|	MAx	MAy	MAz	MAv
0.000	-0.023942	2.549825	9.126697	9.476222	-0.024	2.550	9.127	9.476
0.019	-0.296881	1.707066	8.942344	9.108662	-0.092	2.339	9.081	9.384
0.038	-0.031125	2.097321	9.167398	9.404303	-0.094	2.226	9.091	9.366
0.058	-0.059855	1.675941	9.631873	9.776776	-0.103	2.008	9.217	9.441
0.079	-0.126893	1.912967	9.998186	10.180337	-0.129	1.848	9.435	9.618
0.098	0.356736	2.214637	9.648633	9.905957	0.035	1.975	9.612	9.817
0.118	0.579397	2.164358	8.712500	8.995988	0.187	1.992	9.498	9.715
0.138	0.347159	2.363077	8.374918	8.708840	0.289	2.164	9.184	9.448
0.158	0.366313	2.037466	10.012551	10.224316	0.412	2.195	9.187	9.459
0.178	0.208296	1.534683	10.771513	10.882285	0.375	2.025	9.468	9.703
0.199	0.282516	1.857901	10.615891	10.780943	0.301	1.948	9.944	10.149
0.218	-0.045490	1.783680	9.761160	9.922894	0.203	1.803	10.290	10.453
0.238	-0.074220	1.936909	8.920795	9.128949	0.093	1.778	10.017	10.179
0.259	0.466869	2.025495	9.143456	9.376747	0.157	1.901	9.610	9.802
0.278	-0.064643	2.106898	10.151415	10.367952	0.071	1.963	9.494	9.699
0.298	-0.531513	1.812411	10.311827	10.483373	-0.051	1.970	9.632	9.839
0.319	-0.663194	1.611298	9.562442	9.719897	-0.198	1.889	9.792	9.987
0.338	-0.251391	1.424550	9.181764	9.295016	-0.378	1.739	9.802	9.967
0.358	-0.033519	1.742979	9.157822	9.322274	-0.370	1.648	9.553	9.705
0.379	0.088585	2.059013	9.440337	9.662678	-0.215	1.709	9.336	9.500
0.398	0.232238	1.936909	9.983821	10.172622	0.009	1.791	9.441	9.613
0.422	0.421380	1.742979	10.424355	10.577462	0.177	1.870	9.752	9.934
0.439	0.040701	1.623269	9.586384	9.722932	0.196	1.841	9.859	10.034
0.458	-0.081403	2.281674	8.267179	8.576648	0.153	1.896	9.565	9.762
0.478	0.363919	2.746149	7.893683	8.365644	0.186	2.099	9.043	9.311
0.498	0.598550	2.779668	8.942344	9.383513	0.230	2.358	8.672	9.012
0.518	0.593762	2.679112	9.950302	10.321759	0.369	2.622	8.763	9.162
0.538	0.658405	2.590526	9.902418	10.256813	0.554	2.699	9.172	9.582
0.559	1.345541	2.537854	10.177752	10.575340	0.799	2.647	9.743	10.134
0.578	0.756568	3.002329	8.281544	8.841399	0.839	2.702	9.578	9.999
0.598	0.488417	3.318364	8.588001	9.219754	0.812	2.862	9.237	9.723
0.619	0.565032	2.719813	9.232041	9.640915	0.789	2.895	9.070	9.569
0.641	0.459687	2.485181	9.749189	10.071451	0.567	2.881	8.963	9.443
0.658	0.248997	2.430115	9.696517	9.999495	0.441	2.738	9.316	9.733
0.678	0.308852	2.353500	9.141062	9.444224	0.396	2.497	9.455	9.789
0.698	0.167594	2.518700	8.449138	8.818155	0.296	2.447	9.259	9.583
0.718	0.062249	2.710236	8.281544	8.713967	0.197	2.503	8.892	9.244
0.739	0.079009	2.650381	8.468291	8.873710	0.154	2.558	8.585	8.963
0.758	0.105345	2.504335	8.877700	9.224768	0.104	2.596	8.519	8.908
0.778	0.083797	2.439692	9.033323	9.357352	0.083	2.576	8.665	9.042
0.799	0.213084	2.245761	9.258378	9.529240	0.120	2.460	8.909	9.246
0.818	0.459687	2.013524	9.749189	9.965555	0.215	2.301	9.230	9.519
0.838	0.541090	1.745373	10.426748	10.585659	0.324	2.111	9.617	9.859
0.858	0.426168	1.833959	10.675745	10.840505	0.410	1.960	10.028	10.230
0.878	-0.122104	2.554613	10.240001	10.554552	0.326	2.037	10.273	10.487
0.898	-0.311246	2.327164	9.485827	9.772077	0.133	2.115	10.207	10.438
0.919	-0.162806	1.702277	9.959879	10.105614	-0.042	2.105	10.090	10.318
0.939	0.361524	1.367089	11.777079	11.861670	-0.059	1.988	10.366	10.573
0.962	0.560243	1.022324	13.515268	13.565452	0.112	1.605	11.185	11.326
